brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,Price,Sale Product Count,Total Sales,Total Stock
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $821.99 ,59,48497.41,438
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $1,599.77 ",60,95986.2,193
ASUS,P1512CEA-XS51,15.6 Inches,,256 GB,Core i5 Family,8 GB,Windows 11 Pro,,Integrated,,2.4,, $758.99 ,38,28841.62,503
Lenovo,T450,14 Inches,,256 GB,Core i5 5300U,16 GB,Windows 10 Home,Speakers,Integrated,Intel HD 5500,,5, $999.99 ,16,15999.84,174
Dell,xps 15 7590,15.6 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,"Anti-glare,Backlit Keyboard,Fingerprint Reader",NVIDIA GeForce GTX 1650 4GB,Dedicated,,3.5, $673.09 ,31,20865.79,446
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,635.99 ",24,39263.76,243
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,599.00 ",51,81549,429
HP,,15.6 Inches,,512 GB,,,,,,Intel Iris,,5, $389.99 ,13,5069.87,114
Lenovo,ThinkPad T15g Gen 2,15.6 Inches,Black,1 TB,Core i9,32 GB,Windows 10 Pro,,GeForce RTX 3080,NVIDIA GeForce RTX 3080,,4.5, $599.44 ,27,16184.88,180
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $524.00 ,49,25676,410
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $389.99 ,42,16379.58,175
Dell,XPS 9320 Laptop,13.4 Inches,Silver,512 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,," $1,699.00 ",34,57766,354
Dell,Precision 3000,15.6 Inches,Titan Gray,512 GB,Core i7,16 GB,Windows 10 Pro,Anti-glare Screen,T550,,,, $639.99 ,50,31999.5,484
Lenovo,Lenovo Thinkpad,14 Inches,,256 GB,Core i5,8 GB,Windows 11,,Integrated,Intel HD Graphics 520,2.4 GHz,, $570.00 ,50,28500,286
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $2,994.02 ",59,176647.18,544
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $589.99 ,41,24189.59,432
HP,ZBook Firefly 16 G9,16 Inches,,512 GB,Core i7,32 GB,Windows 11 Pro,Anti-glare Screen,"T500,Iris Xe Graphics",NVIDIA Intel T500 Iris Xe Graphics,,, $777.02 ,50,38851,181
Dell,Precision 7770,17.3 Inches,,512 GB,Core i7 Family,64 GB,Windows 11 Pro,Anti-glare,Dedicated,NVIDIA RTX A4500 16GB GDDR6 (4DP),,, $961.90 ,37,35590.3,513
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $2,273.00 ",20,45460,439
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $3,345.99 ",41,137185.59,215
Panasonic,Panasonic Toughbook,13.1 Inches,silver/black,250 GB,Core i5,4 GB,Windows 7,Water Proof,Integrated,,,2.7, $685.00 ,63,43155,530
acer,Chromebook,15.6 Inches,Black,,Celeron 3205U,4 GB,Chrome OS,,Integrated,Intel HD Graphics,1.5 GHz,3.6," $1,869.00 ",23,42987,472
Dell,i3500-7722BLK-PUS,15.6 Inches,Black,512 GB,Corei7-10750H,16 GB,Windows 10 Home,Anti-glare,NVIDIA GeForce RTX2060,,,4.3," $1,599.00 ",34,54366,163
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $928.99 ,13,12076.87,338
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $389.99 ,44,17159.56,517
Dell,Dell Inspiron 16 5625,16 Inches,Silver,1000 GB,AMD Ryzen 7,16 GB,Windows 11 Home,,Integrated,AMD Radeon Graphics,,5, $999.99 ,53,52999.47,219
MSI,Summit E14Evo A12M-026,14 Inches,Ink Black,512 GB,Core i5,16 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,, $389.99 ,58,22619.42,205
Microsoft,Laptop 4 13 i5/8GB/512GB ICE BLUE,13.5 Inches,Ice Blue,512 GB,Intel Core i5,8 GB,Windows 10 Home,Dolby,Integrated,,,4.4, $999.99 ,30,29999.7,195
Dell,Latitude 7000,14 Inches,,512 GB,Core i7,32 GB,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,,,, $976.99 ,61,59596.39,525
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $689.49 ,15,10342.35,497
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $459.99 ,65,29899.35,454
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $286.00 ,25,7150,375
HP,HP EliteBook,14 Inches,,256 GB,Core i5,8 GB,Windows 10 Pro,,Integrated,,2.4 GHz,," $1,929.99 ",21,40529.79,348
HP,Dragonfly Folio G3,13.5 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,"Corning Gorilla Glass 7, Miracast Technology",Iris Xe Graphics,Intel Iris Xe Graphics,,, $389.99 ,42,16379.58,123
ASUS,G614JV,16 Inches,Eclipse Gray,2 TB,Core i7,32 GB,Windows 11 Pro,Backlit Keyboard,Dedicated,,,," $1,046.99 ",46,48161.54,329
ASUS,ASUS VivoBook,14 Inches,grey,128 GB,Core i3,4 GB,Windows 10 Home,Active Stylus,Integrated,,,4.4, $252.54 ,22,5555.88,340
Dell,Latitude 3000,14 Inches,Black,256 GB,Core i3,8 GB,Windows 11 Pro,Anti-glare Screen,UHD Graphics,,,," $1,599.00 ",37,59163,415
Dell,Precision 5570 Laptop,15.6 Inches,Black,512 GB,Core i9,64 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,," $1,086.71 ",27,29341.17,496
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $2,931.99 ",49,143667.51,295
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $2,337.99 ",24,56111.76,467
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $639.99 ,14,8959.86,386
HP,HP Chromebook 11,11.6 Inches,Black,,Celeron N,4 GB,Chrome OS,Anti-glare Screen,Integrated,Intel HD Graphics 400,,4," $1,079.99 ",61,65879.39,403
Dell,Dell XPS,13.3 Inches,Silver/Carbon Fiber,128 GB,Core i5,8 GB,Windows 10,Full Hd Anti-glare,Integrated,,,3.6, $637.35 ,37,23581.95,503
Lenovo,ThinkPad E14 Gen 4,14 Inches,,256 GB,Ryzen 5,16 GB,Windows 11,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,," $1,399.00 ",26,36374,374
Apple,,13.3 Inches,,256 GB,,16 GB,Mac OS,,Dedicated,,,3.9, $389.99 ,35,13649.65,279
Dell,Latitude 7640 Laptop,16 Inches,Black,512 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,," $1,309.99 ",20,26199.8,354
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $239.99 ,59,14159.41,340
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,899.00 ",32,60768,307
Lenovo,Thinkpad,11.6 Inches,Black,128 GB,Celeron,4 GB,Windows 10 Pro,Anti Glare Coating,Integrated,,,3.7," $1,014.99 ",23,23344.77,335
Dell,Precision 3000,15.6 Inches,Titan Gray,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,GT2 Graphics,,,," $1,499.00 ",61,91439,460
Dell,XPS 9315 Laptop,13.4 Inches,Platinum Silver,512 GB,Core i5,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,," $1,599.00 ",61,97539,332
Microsoft,Surface Laptop,15 Inches,Matte Black,256 GB,Ryzen 5 2600X,8 GB,Windows 10 Home,,Integrated,AMD Radeon Vega 9,,4.2," $1,599.00 ",65,103935,466
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $1,210.99 ",27,32696.73,263
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $916.66 ,27,24749.82,470
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $1,099.00 ",47,51653,430
ASUS,Rog Strix Scar G533Z,15.6 Inches,Off Black,1 TB,Intel Core i9,16 GB,Windows 10 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,, $949.31 ,51,48414.81,329
Dell,Inspiron 7620 Laptop,16 Inches,Platinum Silver,1000 GB,Core i7,40 GB,Windows 11 Home,,Integrated,Intel Integrated Graphics,,5, $899.99 ,13,11699.87,110
IVIEW,IVIEW-1430NB,14.1 Inches,Black,64 GB,Celeron N3350,4 GB,Windows 10,,Integrated,Embedded,,4.3, $459.99 ,28,12879.72,514
Lenovo,82LX0050US,15.6 Inches,,128 GB,Intel Mobile CPU,4 GB,Windows 11 S,"Bezels,Dolby,Stereo Speakers",Integrated,,3.3,," $4,299.00 ",19,81681,293
Apple,,,,512 GB,,24 GB,Mac OS,,Dedicated,,,, $606.15 ,12,7273.8,498
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,, $479.00 ,22,10538,135
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $999.99 ,47,46999.53,495
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,171.31 ",25,29282.75,300
Dell,Inspiron 3511,15.6 Inches,,512 GB,Core i5,16 GB,Windows 10 Pro,,Integrated,Intel UHD Graphics,1 GHz,, $999.99 ,30,29999.7,132
Dell,Precision 5000,15.6 Inches,Aluminum Titan Gray,512 GB,Core i7 Family,32 GB,Windows 10 Pro,Anti-glare Screen,RTX A2000,,,4, $649.99 ,56,36399.44,360
Dell,Latitude,14 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,2.8 GHz,," $1,229.00 ",27,33183,110
Apple,,16.2 Inches,,1 TB,Apple M2,32 GB,Mac OS,Backlit Keyboard,Integrated,,3.5 GHz,," $1,683.99 ",13,21891.87,192
Dell,Alienware X17 R2 Laptop,17.3 Inches,Lunar Light,2000 GB,Core i9,64 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,,5, $835.57 ,37,30916.09,153
Dell,G15,15.6 Inches,,256 GB,Core i5,8 GB,Windows 11 Home,,RTX 3050,,2.6 GHz,," $1,699.00 ",54,91746,355
ASUS,ASUS VivoBook,11.6 Inches,,32 GB,Celeron N,2 GB,Windows 10,,Integrated,,1.1 GHz,4.2," $1,096.99 ",61,66916.39,477
HP,,15.6 Inches,Black,1000 GB,Ryzen 5,32 GB,Windows 11,Backlit Keyboard,Integrated,AMD,,5, $459.99 ,61,28059.39,329
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $319.99 ,54,17279.46,452
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $599.00 ,52,31148,274
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $1,575.99 ",22,34671.78,375
Lenovo,Lenovo IdeaPad,15.6 Inches,Black,1 TB,Pentium Other,20 GB,Windows 11,Anti-glare,Integrated,,,4.2, $320.00 ,49,15680,482
acer,Swift Go 14,14 Inches,,512 GB,Intel Core i5,8 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,Intel Iris Xe Graphics,,4.3," $1,699.00 ",44,74756,412
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $1,782.43 ",55,98033.65,430
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $639.99 ,23,14719.77,416
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $289.00 ,45,13005,479
Dell,Dell Latitude,11.6 Inches,Black,,,16 GB,Windows 10 Pro,,Integrated,Intel HD Graphics 520,,," $2,501.99 ",43,107585.57,505
Dell,Latitude 5420,14 Inches,Silver,,Core i5,8 GB,Windows 10 Pro,Anti Glare,Integrated,,,3.7, $799.00 ,58,46342,350
acer,Chromebook 311,11.6 Inches,Black,32 GB,MediaTek MT8183,4 GB,Chrome OS,,Integrated,Intel Integrated Graphics,,4.4, $719.99 ,61,43919.39,265
Gigabyte,U4 UD-50US823SO,14 Inches,Silver,512 GB,Intel Mobile CPU,16 GB,Windows 11 Home,Thin Bezel,Integrated,,,3.3," $1,699.00 ",25,42475,397
HP,Laptop,15.6 Inches,,2 TB,Core i3,32 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,1 GHz,, $919.99 ,65,59799.35,504
HP,,15.6 Inches,,500 GB,Core i5 6200U,8 GB,Windows 10 Pro,Anti-glare,Integrated,Intel HD Graphics 520,2.3 GHz,3.3, $370.23 ,12,4442.76,402
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $999.99 ,48,47999.52,279
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,999.00 ",45,89955,200
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $860.99 ,36,30995.64,440
ASUS,Vivobook,11.6 Inches,,32 GB,Celeron N,4 GB,Windows 10 S,,Integrated,Intel UHD Graphics 605,1.1 GHz,4, $459.99 ,22,10119.78,431
Dell,Latitude,15.6 Inches,Silver,1 TB,Core i7 Family,32 GB,Windows 11 Pro,Backlit Kb,Integrated,,,4.3," $1,179.99 ",48,56639.52,454
Dell,Latitude 7000,14 Inches,,256 GB,Core i7,16 GB,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,," $1,370.49 ",34,46596.66,526
Lenovo,ThinkPad X1 Extreme Gen 5,16 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,Anti-glare Screen,GeForce RTX 3050 Ti,NVIDIA GeForce RTX 3050 Ti,,, $589.99 ,64,37759.36,455
Dell,,13.3 Inches,,512 GB,,8 GB,Windows 11 Home,Backlit Keyboard,Integrated,,,1," $2,549.00 ",27,68823,163
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $1,349.99 ",24,32399.76,336
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,099.99 ",52,57199.48,460
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $3,415.99 ",43,146887.57,364
Dell,XPS 9520 Laptop,15.6 Inches,Platinum Silver,512 GB,Core i7,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3050,,," $1,096.99 ",53,58140.47,152
Dell,XPS 9320 Laptop,13.4 Inches,Black,2000 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,, $389.99 ,24,9359.76,282
Dell,Dell 5000,14 Inches,Platinum Silver,512 GB,Core i7 Family,16 GB,Windows 11 Pro,Fingerprint,Dedicated,,,, $532.49 ,52,27689.48,527
Lenovo,ThinkPad P16s G1,16 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Pro,Anti-glare Screen,QN20-M1-R,,,, $999.99 ,55,54999.45,288
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $589.99 ,41,24189.59,206
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,139.00 ",32,36448,268
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $979.99 ,47,46059.53,352
SAMSUNG,Chromebook 4,11.6 Inches,Silver,64 GB,Celeron N3450,4 GB,Chrome OS,,Integrated,Intel UHD Graphics 600,,4.9, $229.99 ,25,5749.75,435
Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,2000 GB,Core i7,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,,, $899.99 ,60,53999.4,412
Lenovo,Chromebook Flex 3,11.6 Inches,Almond,64 GB,Celeron N4020,4 GB,Chrome OS,,Integrated,Intel UHD Graphics 600,,4.3, $589.99 ,24,14159.76,272
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,, $589.99 ,47,27729.53,529
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $459.99 ,22,10119.78,322
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $764.99 ,57,43604.43,316
Dell,Precision 5000,14 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,Anti-glare Screen,RTX A1000,NVIDIA RTX A1000,,," $2,675.99 ",30,80279.7,477
Dell,Dell Precision 5560,15 Inches,Black,,Intel Core i7,32 GB,No,,,,,," $1,299.99 ",44,57199.56,286
LG,GRAM 16 2-in-1,16 Inches,Silver,4 TB,Core i7 Family,16 GB,Windows 11 Pro,"HD Audio, Backlit Keyboard, Memory Card Slot, Numeric Keypad",Integrated,,,," $1,599.00 ",33,52767,154
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,552.99 ",31,48142.69,430
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,672.99 ",54,90341.46,303
Dell,Dell 5000,16 Inches,Platinum Silver,4 TB,Ryzen 7,64 GB,Windows 11 Pro,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",Integrated,,,, $999.99 ,56,55999.44,256
acer,PH315-55,15.6 Inches,Abyss Black,2 TB,Core i7 Family,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3060,,," $3,461.33 ",20,69226.6,122
Dell,Precision 3000,15.6 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,Anti-glare Screen,Dedicated,,5 GHz,," $1,406.04 ",31,43587.24,496
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,996.29 ",35,69870.15,452
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,069.81 ",31,33164.11,390
LG,LG gram,15.6 Inches,Silver,256 GB,Core i5 2.3 GHz,8 GB,Windows 10 Home,,Integrated,Intel Iris Plus,,4, $389.99 ,37,14429.63,278
Dell,XPS,17 Inches,Platinum Silver,1 TB,Core I7 11800H,16 GB,Windows 10,"Backlit Keyboard,Fingerprint Reader",Dedicated,,,3.8, $999.99 ,19,18999.81,146
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $953.82 ,62,59136.84,322
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $252.98 ,20,5059.6,423
Lenovo,ThinkPad P14s Gen 3,14 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Pro,Anti-glare Screen,T550,,,, $468.00 ,57,26676,449
Microsoft,Surface Laptop,13.5 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Home,Dolby,Integrated,,,," $2,109.99 ",56,118159.44,550
Dell,Latitude,15.6 Inches,,2 TB,Core i5,16 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,5, $639.99 ,15,9599.85,284
Dell,7000,13.3 Inches,Grey,,AMD Ryzen 7,12 GB,Windows 10,Backlit Keyboard,Integrated,AMD Radeon RX Vega 10,,3.9, $999.99 ,27,26999.73,489
HP,HP 14 laptop,14 Inches,Silver,128 GB,Core i3,4 GB,Windows 10 Home,Anti-glare,Integrated,,,3.7," $1,752.99 ",49,85896.51,152
Dell,Latitude 5420,15.6 Inches,,256 GB,Core i5,8 GB,Windows 10 Pro,Anti Glare,Integrated,Integrated,,4.2, $195.97 ,22,4311.34,505
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $231.85 ,37,8578.45,438
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $528.18 ,28,14789.04,236
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $1,546.84 ",55,85076.2,145
acer,C771-C4TM,11.6 Inches,Black,32 GB,Celeron,1 GB,Chrome OS,Spill Resistant,Integrated,,,4.2," $1,599.00 ",61,97539,366
Dell,Dell Latitude,13.3 Inches,,256 GB,Core i5,8 GB,Windows 10 Pro,,Integrated,Intel Iris,,5," $1,699.00 ",60,101940,492
HP,PRO X2 612G1+KEYBOARD,12.5 Inches,Silver,256 GB,Core i5,8 GB,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,,," $1,259.00 ",37,46583,400
Dell,Latitude 7420 Laptop,14 Inches,Black,512 GB,Core i7,32 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,," $2,425.99 ",23,55797.77,458
Lenovo,ThinkPad T15p Gen 3,15.6 Inches,Black,256 GB,Core i7,8 GB,Windows 11,Anti-glare Screen,GeForce RTX 3050,,,," $2,053.99 ",30,61619.7,182
Dell,Latitude 7420,14 Inches,,256 GB,Core i5,16 GB,Windows 10 Pro,Anti Glare,Integrated,Intel Iris Xe Graphics,,5, $959.45 ,27,25905.15,235
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,, $589.99 ,29,17109.71,215
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $493.49 ,54,26648.46,363
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $589.99 ,63,37169.37,246
HP,38S12UT#ABA,13.3 Inches,Black,,Core i5,16 GB,Windows 10 Pro,,Integrated,,2.4 GHz,," $1,900.08 ",46,87403.68,416
Dell,Dell 5000,16 Inches,Platinum Silver,512 GB,Ryzen 7,16 GB,Windows 11,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",Integrated,,,, $589.99 ,13,7669.87,100
Lenovo,ThinkPad T16 Gen 1,16 Inches,,256 GB,Ryzen 5,16 GB,Windows 11 Pro,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,," $1,599.00 ",33,52767,461
Lenovo,Lenovo ThinkPad X1 Carbon Gen 11,14 Inches,Black,512 GB,Core i7 Family,32 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,, $844.58 ,56,47296.48,555
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $589.99 ,60,35399.4,551
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $3,699.00 ",32,118368,352
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $724.99 ,64,46399.36,430
Lenovo,Lenovo ThinkPad T14 Gen 3 AMD,14 Inches,,2 TB,AMD Ryzen 7,16 GB,Windows 11 Pro,"Anti-glare,Backlit Kyb,Fingerprint Reader",Integrated,AMD Radeon 680M,,5," $1,269.00 ",56,71064,340
HP,ELITEBOOK 820G3,12.5 Inches,,512 GB,Core i5,16 GB,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,2.4 GHz,4, $599.95 ,63,37796.85,226
MSI,Modern 14 B11MO-857,14 Inches,Beige Mousse,512 GB,Core i5,8 GB,Win 10 Multi-language /Free upgrade to Win 11,"Multi Touch, Intel 9560 Jefferson Peak (2x2 802.11 ac), White backlight 84 Key",Integrated,,,2, $589.99 ,65,38349.35,502
Dell,E6540,15.6 Inches,,500 GB,Core i7,8 GB,Windows 7 Professional,HD Audio,Dedicated,AMD Radeon HD 8790M,,3.7, $154.89 ,35,5421.15,495
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,, $589.99 ,41,24189.59,212
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $479.99 ,63,30239.37,165
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $639.99 ,54,34559.46,545
Dell,Dell Inspiron 16 5625,16 Inches,Silver,1000 GB,AMD Ryzen 7,16 GB,Windows 11 Pro,,Integrated,AMD Radeon Graphics,,, $377.91 ,55,20785.05,136
LG,17Z90R-N.APC5U1,17 Inches,Obsidian Black,512 GB,Core i7,8 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,, $389.99 ,64,24959.36,380
HP,Spectre x360,15.6 Inches,,512 GB,Core i7,16 GB,Windows 11 Home,"Fingerprint,Pen",Integrated,Intel Iris Xe Graphics,,, $389.99 ,48,18719.52,220
MSI,Raider GE76 12UE,17.3 Inches,Titanium Blue-Black-Dark Blue-Black,4 TB,Intel Core i9,64 GB,Windows 11 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Dedicated,,,," $2,778.00 ",51,141678,418
